,car_id,description,amount,region,make,model,year_of_man,color,condition,mileage,engine_size,selling_cond,bought_cond,trim,drive_train,reg_city,seat,num_cylinder,horse_power,body_build,fuel_type,transmission
10,C84Q2hN2YYWK4w3efHDl3ye6,Toyota Corolla 2010 Blue, 4500000,"Lagos State, Ikoyi",Toyota,Corolla,2010,Blue,Nigerian Used,74424,1800,Registered,Brand new,,,LAGOS,,,,,Petrol,Automatic
11,1stYRXx6y2mQsEOWbHmOArcd,Toyota Corolla 2004 Blue, 3600000,"Abuja (FCT), Mararaba",Toyota,Corolla,2004,Blue,Nigerian Used,175337,1800,Registered,Registered,,,Abuja,,,,,Petrol,Automatic
12,fp4C6S86mDmiJOL1xDAgOB44,Lexus IS 250 AWD 2006 Black, 2812500,"Lagos State, Lekki",Lexus,IS,2006,Black,Nigerian Used,259663,3500,Registered,Imported,250 AWD,All Wheel,ABUJA,5,6,208,Sedan,Petrol,Automatic
13,z5jxNPzDkJuMDiWimRVxb99L,Toyota Avalon 2013 Black, 7875000,"Abuja (FCT), Jabi",Toyota,Avalon,2013,Black,Nigerian Used,124233,3500,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
14,kmNj5VyxYaoxl7YbAvM3Bych,Toyota Camry 2001 Gray, 2137500,"Lagos State, Ojodu",Toyota,Camry,2001,Gray,Nigerian Used,155469,2200,Registered,Imported,,,,,,,,Petrol,Automatic
15,aofdrJ1wmX0QL4gQ2KKVRGwp,Land Rover Range Rover 2008 White, 4303125,"Lagos State, Ajah",Land Rover,Range Rover,2008,White,Nigerian Used,144381,4400,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
16,mPa4MnSwhQp4wzOAB8SFudOg,Toyota Corolla 2014 Silver, 6187500,"Oyo State, Ibadan",Toyota,Corolla,2014,Silver,Nigerian Used,101872,1800,Registered,Registered,,,Lagos State,,,,,Petrol,Automatic
17,Bok4bZ3DUH2NppYYGMHDkQe0,Lexus GS 2008 Gray, 2953125,"Lagos State, Lekki",Lexus,GS,2008,Gray,Nigerian Used,98229,3500,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
18,kLIpsBxMp7ExegbbzB29OHVN,Honda Accord 2010 Black, 2025000,"Abuja (FCT), Lugbe District",Honda,Accord,2010,Black,Nigerian Used,82091,3300,Registered,Registered,,,,,,,,Petrol,Automatic
19,BXSpWEnzV3t9SEkPDLX14Qq6,Honda Pilot 2008 White, 3150000,"Kwara State, Ilorin East",Honda,Pilot,2008,White,Nigerian Used,142806,3500,Registered,Imported,,,,,,,SUV,Petrol,Automatic
20,iUyhLAvmvgbqQQZzCC261pPR,Toyota Corolla 2009 White, 2812500,"Lagos State, Amuwo-Odofin",Toyota,Corolla,2009,White,Nigerian Used,291419,,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
21,nhqZPJ6HvZfoeOT9u0mNppQV,Lexus GX 2003 Black, 4050000,"Lagos State, Amuwo-Odofin",Lexus,GX,2003,Black,Nigerian Used,115676,4700,Registered,Imported,,,,,,,SUV,Petrol,Automatic
22,xCKl4TrUzfxyQZUzuxkkttGq,BMW 323i 2008 Gray, 3937500,"Abuja (FCT), Jabi",BMW,323i,2008,Gray,Nigerian Used,143258,2500,Registered,Registered,,,KADUNA,,,,,Petrol,Automatic
23,pGdxpP788sdLQXZoNAQYRMlz,Toyota Corolla 2006 Gray, 2925000,"Abuja (FCT), Jabi",Toyota,Corolla,2006,Gray,Nigerian Used,299999,1800,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
24,hyibVSePNRdEPBHpq17Ssnyi,Lexus RX 350 2012 Black, 11250000,"Lagos State, Ojodu",Lexus,RX 350,2012,Black,Foreign Used,160198,3500,Imported,Imported,,,,,,,SUV,Petrol,Automatic
25,doklctAs5c90WmafsFgYkfre,Lexus GS 2006 Silver, 3375000,"Lagos State, Alimosho",Lexus,GS,2006,Silver,Nigerian Used,61517,3000,Registered,Registered,,,Lagos,,,,,Petrol,Automatic
26,mCqsgtdzbm1HesNIpQm9iI7J,Toyota Corolla 2004 Silver, 2812500,"Abuja (FCT), Jabi",Toyota,Corolla,2004,Silver,Nigerian Used,126158,1800,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
27,kEb3OtWV7u2bTXpfW7D21pkt,Kia Sorento 2011 Gray, 4500000,"Rivers State, Port-Harcourt",Kia,Sorento,2011,Gray,Nigerian Used,133102,3500,Registered,Imported,,,,,,,SUV,Petrol,Automatic
28,3q8SZAdk8ZST1zSzEYqPSABX,Volkswagen Golf 1999 Blue, 843750,"Delta State, Oshimili South",Volkswagen,Golf,1999,Blue,Nigerian Used,171950,1600,Registered,Registered,,,ANAMBRA,,,,,Petrol,Automatic
29,xqpJyDZHGigalYWWclNBTc2X,Toyota Camry 2004 Gray, 2925000,"Oyo State, Ibadan",Toyota,Camry,2004,Gray,Nigerian Used,412440,2400,Registered,Imported,,,,,,,,Petrol,Automatic
30,rsZqHZVva6xZEpPjkDXgyvoS,Land Rover Range Rover Evoque Coupe Dynamic 2012 Black, 8437500,"Rivers State, Port-Harcourt",Land Rover,Range Rover Evoque,2012,Black,Nigerian Used,75626,2000,Registered,Imported,Coupe Dynamic,,,,,,Coupe,Petrol,AMT
31,1auTrHolJ2CMzONczsc9Rcbv,Toyota Corolla 2004 Gold, 2250000,"Lagos State, Ikotun/Igando",Toyota,Corolla,2004,Gold,Nigerian Used,299999,1800,Registered,Registered,,,Lagos,,,,,Petrol,Automatic
32,CoFu7yWkhHCIVMj9bYgOMl9l,Toyota Camry 2013 Gray, 6412500,"Lagos State, Ipaja",Toyota,Camry,2013,Gray,Nigerian Used,119344,2500,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
33,knfAl9LnCE1Jc1jWtFOyok2s,Honda Accord 2009 Silver, 2587500,"Lagos State, Alimosho",Honda,Accord,2009,Silver,Nigerian Used,215154,2400,Registered,Imported,,,Lagos,,,,,Petrol,Automatic
34,r52kQH02OW3X2puGo3EMWILQ,Toyota Corolla 2003 Silver, 1968750,"Lagos State, Ikorodu",Toyota,Corolla,2003,Silver,Nigerian Used,231251,2800,Registered,Registered,,,Lagos,,,,,Petrol,Automatic
35,Crci3qnqE3YWSxIBodT0Op8v,Toyota Camry 2004 Teal, 2475000,"Lagos State, Lekki",Toyota,Camry,2004,Teal,Nigerian Used,189045,2400,Registered,Imported,,,,,,,,Petrol,Automatic
36,aEwTZA6nC4y6fwtRwJPjpKCf,Acura MDX 2001 Gold, 1687500,"Lagos State, Mushin",Acura,MDX,2001,Gold,Nigerian Used,367075,3500,Registered,Registered,,,LAGOS,,,,SUV,Petrol,Automatic
37,yR3fyAoT6i3S3HS9S7ukReJc,Toyota Camry 2008 Silver, 2651175,"Abuja (FCT), Katampe",Toyota,Camry,2008,Silver,Nigerian Used,153565,2400,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
38,43PvhLRx7YdNnhxIGbzmMe0X,Toyota Highlander Base AWD 2002 Red, 3037500,"Akwa Ibom State, Uyo",Toyota,Highlander,2002,Red,Nigerian Used,244149,3300,Registered,Registered,Base AWD,All Wheel,ABIA,5,4,155,SUV,Petrol,Automatic
39,7AwjbX5q59g7oENyutGETzn5,Honda Accord 2003 Gray, 1237500,"Abuja (FCT), Jabi",Honda,Accord,2003,Gray,Nigerian Used,121529,2400,Registered,Registered,,,Abuja,,,,,Petrol,Automatic
40,ByslsTMfVbRv1KJ4drLv5IM3,Lexus GX 2015 Black, 33750000,"Lagos State, Ikoyi",Lexus,GX,2015,Black,Nigerian Used,62104,4600,Registered,Imported,,,LAGOS,,,,SUV,Petrol,Automatic
41,hsWSpXq6KCvEtbtQBhv9G3zs,Lexus ES 2007 Beige, 3937500,"Abuja (FCT), Gwarinpa",Lexus,ES,2007,Beige,Nigerian Used,134172,3500,Registered,Registered,,,,,,,,Petrol,Automatic
42,5HTfRXlSfYFQBjhxHIoJuWTr,Honda Accord 2009 Silver, 2385000,"Lagos State, Surulere",Honda,Accord,2009,Silver,Nigerian Used,390792,2400,Registered,Imported,,,,,,,,Petrol,Automatic
43,wwfQ7AX1qRs5smNSF5f6gpvA,Toyota Camry 1998 Silver, 1012500,"Abuja (FCT), Jabi",Toyota,Camry,1998,Silver,Nigerian Used,212122,2200,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
44,7Q8kF5kKNSPJEEWaaStYBk0S,Toyota Land Cruiser Prado 2.7 VVT-i 2015 Gray, 15750000,"Lagos State, Lekki",Toyota,Land Cruiser Prado,2015,Gray,Nigerian Used,47395,2700,Registered,Imported,2.7 VVT-i,All Wheel,LAGOS,5,4,163,SUV,Petrol,Automatic
45,zhsL7a37tGYeTflkHjMrsTPh,Lexus IS 2008 Black, 5400000,"Abuja (FCT), Jabi",Lexus,IS,2008,Black,Nigerian Used,104166,2500,Registered,Imported,,,ABUJA,,,,,Petrol,Automatic
46,zxdAn3OJgSIpIKoNak6fLB9b,Lexus ES 2007 Black, 4303125,"Abuja (FCT), Katampe",Lexus,ES,2007,Black,Nigerian Used,160987,3500,Registered,Imported,,,ABUJA,,,,,Petrol,Automatic
47,r4CcY7dofjTttJQt7lvhPDCp,Honda Civic 2007 Gray, 2250000,"Abuja (FCT), Lugbe District",Honda,Civic,2007,Gray,Nigerian Used,199805,1800,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
48,4Y0LCZjpkhlTdupAsdCYFOKY,Lexus IS 2008 Silver, 3825000,"Lagos State, Ogba",Lexus,IS,2008,Silver,Nigerian Used,1313998,2500,Registered,Imported,,,,,,,,Petrol,Automatic
49,d5uvNr5uGBVtJLByjMCffV7X,Honda Accord 2008 Black, 2812500,"Abuja (FCT), Lugbe District",Honda,Accord,2008,Black,Nigerian Used,130260,2400,Registered,Registered,,,,,,,,Petrol,Automatic
50,zjJUNonjVWrcM9mbZukMARBs,Toyota Highlander V6 2005 Gold, 3250125,"Anambra State, Onitsha",Toyota,Highlander,2005,Gold,Nigerian Used,272192,3300,Registered,Registered,V6,,Lagos,5,6,233,SUV,Petrol,Automatic
51,wk7w5HlcVtjdrF0yjxBlP4Ml,Toyota Corolla 2004 Red, 2475000,"Lagos State, Ajah",Toyota,Corolla,2004,Red,Nigerian Used,463151,1800,Registered,Registered,,,Lagos,,,,,Petrol,Automatic
52,CiUM2IRsvXMHXcfqkiSb0oIu,Honda CR-V 2009 Green, 2868750,"Abuja (FCT), Katampe",Honda,CR-V,2009,Green,Nigerian Used,160898,2400,Registered,Registered,,,ABUJA,,,,SUV,Petrol,Automatic
53,3lDx2zGflAhOstVF41Qf43uE,Lexus GS 2001 Brown, 2250000,"Abuja (FCT), Jabi",Lexus,GS,2001,Brown,Nigerian Used,391443,3000,Registered,Registered,,,,,,,,Petrol,Automatic
54,1sM6W8Z2Cz6nm04fYNyT6n85,Mercedes-Benz GL-Class 2008 Black, 3937500,"Rivers State, Port-Harcourt",Mercedes-Benz,GL-Class,2008,Black,Nigerian Used,162309,4700,Registered,Registered,,,,,,,SUV,Petrol,Automatic
55,v8PMVm4IynLMkDD0Vx6gxDjc,Toyota Camry 2002 Silver, 2328750,"Lagos State, Ikorodu",Toyota,Camry,2002,Silver,Nigerian Used,235152,2800,Registered,Registered,XLE 4dr Sedan (2.4L 4cyl 4A),Front,LAGOS,5,4,157,Sedan,Petrol,Automatic
56,8D9vTLv4ohyFhfaDBl2mTEL5,Toyota Camry 2011 Gray, 4162500,"Abuja (FCT), Mararaba",Toyota,Camry,2011,Gray,Nigerian Used,282622,2500,Registered,Imported,,,Abuja,,,,,Petrol,Automatic
57,NTLnIDDcxuz9OR8GmVrFfxA,Toyota Camry 2007 Silver, 4500000,"Delta State, Oshimili South",Toyota,Camry,2007,Silver,Nigerian Used,187100,3500,Registered,Imported,,,EDO,,,,,Petrol,Automatic
58,uRElNpV71fT2bWRzm3HkzSqE,Ford Edge 2007 Gray, 2362500,"Lagos State, Yaba",Ford,Edge,2007,Gray,Nigerian Used,145218,3500,Registered,Registered,,,LAGOS,,,,SUV,Petrol,Automatic
59,AQtBUeD2uLTYPpqN8xaxqxDY,Toyota Camry 2003 Black, 2587500,"Lagos State, Alimosho",Toyota,Camry,2003,Black,Nigerian Used,358128,2400,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
60,A5iIAPe1KPv165R1y4lmAcqB,Honda Stream 2000 White, 1125000,"Kwara State, Ilorin East",Honda,Stream,2000,White,Nigerian Used,498058,1600,Registered,Registered,,,,,,,Saloon,Petrol,Manual
61,dJ8KCIeybjA2i7qG42SBs0Bf,Nissan Altima 2009 Brown, 2250000,"Lagos State, Ikorodu",Nissan,Altima,2009,Brown,Nigerian Used,128532,2500,Registered,Imported,,,Lagos,,,,,Petrol,Automatic
62,5vLxkCq8P38f3iY9sOD5tqfn,Honda Accord 2007 Gold, 2925000,"Abuja (FCT), Garki 2",Honda,Accord,2007,Gold,Nigerian Used,173223,2400,Registered,Registered,,,,,,,,Petrol,Automatic
63,q4iWav3wllMo4GcwHALnmqk9,Honda Pilot 2003 Gray, 1960312,"Lagos State, Ojodu",Honda,Pilot,2003,Gray,Nigerian Used,254557,3500,Registered,Registered,,,,,,,SUV,Petrol,Automatic
64,mCzcz0BGkdnPhsNPdfmOCZwG,Chevrolet Suburban 2015 White, 28125000,"Lagos State, Lekki",Chevrolet,Suburban,2015,White,Nigerian Used,110363,5300,Registered,Imported,,,,,,,SUV,Petrol,Automatic
65,rW6zBtgbIRgwhukQSjlFqva4,Nissan Pathfinder 2008 Black, 3375000,"Kwara State, Ilorin East",Nissan,Pathfinder,2008,Black,Nigerian Used,192676,4000,Registered,Registered,,,,,,,SUV,Petrol,Automatic
66,cMALjcVYEZYpdJU2OgLfDWYE,Acura MDX 3.5L 4x4 2001 Gray, 1912500,"Lagos State, Ibeju",Acura,MDX,2001,Gray,Nigerian Used,197857,3500,Registered,Registered,3.5L 4x4,4x4,LAGOS,7,6,240,SUV,Petrol,Automatic
67,i7Ohwo1hjuAIVu0Ff1sGDTfy,Toyota Camry 2006 Gray, 2295000,"Lagos State, Ojodu",Toyota,Camry,2006,Gray,Nigerian Used,263180,2400,Registered,Registered,,,,,,,,Petrol,Automatic
68,hqICpAzvu7pWpeBLEh77vMYz,Toyota Corolla 2006 Gray, 3150000,"Lagos State, Ikoyi",Toyota,Corolla,2006,Gray,Nigerian Used,244211,1800,Registered,Registered,,,LAGOS,,,,,Petrol,Automatic
69,wwSHAuzpVezwkuOI6iPJTQQj,Subaru Outback H6 3.0  2001 Red, 1350000,"Lagos State, Ikorodu",Subaru,Outback,2001,Red,Nigerian Used,175127,2500,Registered,Registered,H6 3.0,,,,,,Hatchback,Petrol,Manual
70,gmjkw4p55QpdrI96qqhT1QVY,Toyota RAV4 2008 Red, 3330000,"Lagos State, Yaba",Toyota,RAV4,2008,Red,Nigerian Used,135796,2400,Registered,Registered,,,Lagos,,,,SUV,Petrol,Automatic
71,BrSGYoFDGqBYqVVs0gE2QYEC,Toyota Corolla 2003 Black, 2475000,"Abuja (FCT), Mararaba",Toyota,Corolla,2003,Black,Nigerian Used,482800,1800,Registered,Registered,,,LAGOS STATE,,,,,Petrol,Automatic
72,8TVQqvMkzupUggoWgS97Kvl,Mercedes-Benz E220 2002 Black, 2250000,"Abuja (FCT), Mararaba",Mercedes-Benz,E220,2002,Black,Nigerian Used,,2000,Registered,Registered,,,Abuja,,,,,Petrol,Automatic
73,9RTA4jbLuInn2ZhNidEEnLEN,Toyota Camry 2010 Blue, 3375000,"Lagos State, Yaba",Toyota,Camry,2010,Blue,Nigerian Used,124257,2500,Registered,Registered,,,Lagos,,,,,Petrol,Automatic
74,anUHMzWakzLL6AJKBCiVBSoq,Lexus ES 2002 Silver, 2047500,"Lagos State, Lekki",Lexus,ES,2002,Silver,Nigerian Used,344825,3300,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
75,sfG2RCylukeZsor9K24eKOLd,Honda Accord 2008 Black, 1976625,"Lagos State, Surulere",Honda,Accord,2008,Black,Nigerian Used,165340,2400,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
76,rAHBefxnwf4Tb5HQeDvJq1k1,Honda Accord Sedan EX 2004 Silver, 1350000,"Akwa Ibom State, Uyo",Honda,Accord,2004,Silver,Nigerian Used,247904,3500,Registered,Registered,Sedan EX,Front Wheel,ABUJA,5,4,,Sedan,Petrol,Automatic
77,prYNHdoB91QwIipPXEWAW7g1,Toyota Matrix 2004 Gray, 2160000,"Lagos State, Ikorodu",Toyota,Matrix,2004,Gray,Nigerian Used,129312,1800,Registered,Imported,,,,,,,,Petrol,Automatic
78,45XUtl0IUkBB3CFRfs0zDXc,Toyota Avalon 2006 Gold, 2204998,"Lagos State, Amuwo-Odofin",Toyota,Avalon,2006,Gold,Nigerian Used,125415,3500,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
79,5tvi79F5nesbtTnTRs4Drh96,Mercedes-Benz E350 2012 Blue, 12375000,"Lagos State, Lekki",Mercedes-Benz,E350,2012,Blue,Nigerian Used,132748,3500,Registered,Imported,,,,,,,,Petrol,Automatic
80,nNIWiT2FllLfQpvllnUTBUR7,Hyundai Sonata 2006 Silver, 2925000,"Lagos State, Ojodu",Hyundai,Sonata,2006,Silver,Nigerian Used,117841,3300,Registered,Imported,,,,,,,,Petrol,Automatic
81,zk1p23M0c6zyj1qz2xbWOfKV,Toyota Sienna 2006 Green, 2925000,"Abuja (FCT), Lugbe District",Toyota,Sienna,2006,Green,Nigerian Used,210625,3300,Registered,Registered,,,LAGOS,,,,,Petrol,Automatic
82,tNPFyqYhzsRQiHvXj1grwecn,Mercedes-Benz C300 2010 Black, 3937500,"Abuja (FCT), Wuse",Mercedes-Benz,C300,2010,Black,Nigerian Used,836486,3000,Registered,Registered,,,Abuja,,,,,Petrol,Automatic
83,9QYRrZqrDUUH4I0SoX7pYjil,Toyota Sienna 2004 Gold, 2579062,"Lagos State, Isolo",Toyota,Sienna,2004,Gold,Nigerian Used,347245,,Registered,Imported,,,LAGOS,,,,SUV,Petrol,Automatic
84,94oE7iwn32skEuSHaWyI6YAo,Toyota Highlander V6 AWD 2002 Blue, 3600000,"Lagos State, Ibeju",Toyota,Highlander,2002,Blue,Nigerian Used,326515,3300,Registered,Registered,V6 AWD,All Wheel,LAGOS,5,6,220,SUV,Petrol,Automatic
85,fElYmDDhRF3lQNHQ5DCugzeT,Kia Rondo LX V6 2007 Gray, 1687500,"Rivers State, Port-Harcourt",Kia,Rondo,2007,Gray,Nigerian Used,118426,2700,Registered,Registered,LX V6,Front Wheel,LAGOS,5,6,185,Minivan,Petrol,Automatic
86,cwB5WyV1qT37twaMg8Edk7Z7,Volvo XC90 2007 Blue, 1687500,"Abuja (FCT), Lugbe District",Volvo,XC90,2007,Blue,Nigerian Used,257371,3200,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
87,mlXQ3OGF7XMqoEa43Rn10wPw,Nissan Micra 2006 Silver, 1743750,"Oyo State, Ibadan",Nissan,Micra,2006,Silver,Foreign Used,127445,1200,Imported,Imported,,,,,,,,Petrol,Manual
88,XuFPtCB8FHphulS3sLhpqtS,Honda Accord Automatic 2004 Silver, 1237500,"Ogun State, Ado-Odo/Ota",Honda,Accord,2004,Silver,Nigerian Used,331343,2400,Registered,Registered,Automatic,Front Wheel,NIGER STATE,,,,,Petrol,Automatic
89,cpPT0YtqJ0tiwRZXMU7Zfau8,Toyota RAV4 2007 Black, 3330000,"Lagos State, Ikoyi",Toyota,RAV4,2007,Black,Nigerian Used,168180,2400,Registered,Registered,,,LAGOS,,,,SUV,Petrol,Automatic
90,gqMJqPnoLFDniremR8SEjenB,Toyota Highlander 2001 Red, 2418750,"Rivers State, Port-Harcourt",Toyota,Highlander,2001,Red,Nigerian Used,198217,3000,Registered,Registered,,,ABUJA,,,,SUV,Petrol,Automatic
91,uL5oEGYEUyJdqTfLTrwAwOZ3,Toyota Sienna 2005 Brown, 2250000,"Delta State, Oshimili South",Toyota,Sienna,2005,Brown,Nigerian Used,507363,3300,Registered,Registered,,,,,,,,Petrol,Automatic
92,5OV6ug5RF834DHLnzYkG46au,Toyota Venza 2009 Gold, 6750000,"Abuja (FCT), Garki 2",Toyota,Venza,2009,Gold,Nigerian Used,124639,3500,Registered,Registered,,,,,,,,Petrol,Automatic
93,7RZ9bgKiwtVCgJopDJaRgcOA,Mercedes-Benz C350 2008 Black, 5062500,"Lagos State, Lekki",Mercedes-Benz,C350,2008,Black,Nigerian Used,304683,3500,Registered,Imported,,,,,,,,Petrol,Automatic
94,6hcwRL18C6NvUUOmLuKqhzBJ,Toyota Sienna 2008 Silver, 3150000,"Lagos State, Ilupeju",Toyota,Sienna,2008,Silver,Nigerian Used,122304,3500,Registered,Imported,,,LAGOS,,,,,Petrol,Automatic
95,uIsjDuXD7CYOGpdYaVvAQaiU,Toyota Sequoia 2002 Gray, 3937500,"Lagos State, Ikorodu",Toyota,Sequoia,2002,Gray,Nigerian Used,185324,4700,Registered,Registered,,,Lagos,,,,SUV,Petrol,Automatic
96,cwhRJLujsQHOThjjzLCWUYIG,Toyota Camry 2004 Blue, 2812500,"Lagos State, Ogba",Toyota,Camry,2004,Blue,Nigerian Used,373688,2400,Registered,Imported,,,,,,,,Petrol,Automatic
97,jVJsiyWZV5uIKEOF06SKMW0z,Toyota Highlander 2006 Blue, 3037500,"Lagos State, Alimosho",Toyota,Highlander,2006,Blue,Nigerian Used,307158,3300,Registered,Imported,,,LAGOS,,,,SUV,Hybrid,Automatic
98,4UT6zA83nI8osFzC5aiKPXD6,Honda Element 2005 Gray, 2587500,"Oyo State, Ibadan",Honda,Element,2005,Gray,Nigerian Used,196582,2400,Registered,Registered,,,Lagos,,,,SUV,Petrol,Automatic
99,2O6YMfIMfgeT6c0sgjmuDe9N,Mercedes-Benz A-Class 2003 Black, 3150000,"Lagos State, Ifako-Ijaiye",Mercedes-Benz,A-Class,2003,Black,Nigerian Used,217036,1700,Registered,Imported,,,LAGOS,,,,Saloon,Diesel,Automatic
100,g7h7erp1rXfkxrCEm64RKJ2a,Toyota Matrix 2006 Black, 2704000,"Lagos State, Kosofe",Toyota,Matrix,2006,Black,Nigerian Used,162087,1800,Registered,Imported,,,,,,,,Petrol,Automatic
101,ddMT37bxSCtOp1fty87ey9RS,Lexus ES 2002 Black, 2047500,"Abuja (FCT), Kubwa",Lexus,ES,2002,Black,Nigerian Used,165508,3000,Registered,Registered,,,Abuja,,,,,Petrol,Automatic
102,kUeESxWMGF7WkO9bS5U3gwuN,Honda Accord 2004 Gray, 1383750,"Lagos State, Ogba",Honda,Accord,2004,Gray,Nigerian Used,216895,2400,Registered,Imported,,,,,,,,Petrol,Automatic
103,2VPLqKzwbCE1dGwn01i8eRSF,Lexus RX 350 2013 Gray, 23625000,"Lagos State, Lekki",Lexus,RX 350,2013,Gray,Foreign Used,204720,3500,Imported,Imported,,,,,,,,Petrol,Automatic
104,5isHWe9GfzNnd5wwO6BERjfc,Chevrolet Aveo 2008 Black, 1575000,"Abuja (FCT), Kubwa",Chevrolet,Aveo,2008,Black,Nigerian Used,188942,1500,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
105,44MePzhw6R07MgC7myJbLgqW,Ford Escape 2013 Black, 3920625,"Abuja (FCT), Lugbe District",Ford,Escape,2013,Black,Nigerian Used,142822,2000,Registered,Registered,,,ABUJA,,,,,Petrol,Automatic
106,wMiHvK2mbPm2s3246C24O7Xe,Toyota Corolla 2012 Black, 3729375,"Abuja (FCT), Wuse",Toyota,Corolla,2012,Black,Nigerian Used,100538,1800,Registered,Imported,,,Lagos,,,,,Petrol,Automatic
107,kHyYVPXKxgs2tDgc9iljDRyp,Toyota Corolla 2004 Blue, 2250000,"Lagos State, Ojodu",Toyota,Corolla,2004,Blue,Nigerian Used,295632,1800,Registered,Registered,,,,,,,,Petrol,Automatic
108,x6GXnH6oXFOAuxeEVyJJSy7o,Mercedes-Benz GL-Class 2013 Silver, 11925000,"Abuja (FCT), Jabi",Mercedes-Benz,GL-Class,2013,Silver,Nigerian Used,205083,4700,Registered,Registered,,,ABUJA,,,,SUV,Petrol,Automatic
109,rPe6bQ2yuZQDSyJi5IQHAaCn,Toyota Corolla 2007 Black, 2189248,"Lagos State, Ilupeju",Toyota,Corolla,2007,Black,Nigerian Used,348196,1800,Registered,Registered,,,LAGOS,,,,,Petrol,Automatic
110,zEc8HKcxGig7DmcksGkn524M,Toyota Corolla 2004 Gray, 2250000,"Lagos State, Alimosho",Toyota,Corolla,2004,Gray,Nigerian Used,187010,1800,Registered,Imported,,,Lagos,,,,,Petrol,Automatic
111,fc6o1L3LoKaSnMIWq8JWVxYQ,Toyota RAV4 2007 Red, 3330000,"Lagos State, Ilupeju",Toyota,RAV4,2007,Red,Nigerian Used,115753,2400,Registered,Imported,,,LAGOS,,,,SUV,Petrol,Automatic
112,l3ksqEOIZDG5p3VbYAYtfd5I,Toyota Corolla 2009 Red, 3285000,"Lagos State, Ajah",Toyota,Corolla,2009,Red,Nigerian Used,242509,1800,Registered,Imported,,,Lagos,,,,,Petrol,Automatic
